Nodes: 1000000, Search: DFS
Depth 1:,1,0.015,0,0.257,0,0,0.069,0.001,0.001,0.423,0.069,
Depth 2:,2,0.505,0.001,0,0.074,0,0.018,0.08,0,0.077,0.038,
Depth 3:,3,0.333,0.001,0.011,0.393,0.001,0.284,0.062,0.003,0.068,0.008,
Depth 4:,4,0,0.127,0.117,0,0.057,0,0,0.146,0,0.002,
Depth 5:,5,0.001,0,0,0.294,0.008,0.016,0,0.282,0,0.112,
Depth 6:,6,0,0,0.001,0.001,0.054,0.33,0.204,0.065,0.342,0.007,
Depth 7:,7,0.054,0.006,0,0.001,0,0.001,0.013,0,0,0.003,
Depth 8:,8,0,0.003,0.001,0.017,0,0.34,0,0.255,0,0,
Depth 9:,9,0.345,0,0,0,0.319,0.002,0.196,0,0,0,
Depth 10:,10,0.21,0,0.261,0.109,0.007,0.001,0.31,0.007,0,0,
Depth 11:,11,0.027,0.012,0.254,0.256,0,0.027,0,0,0,0.026,
Depth 12:,12,0,0.001,0.115,0.001,0,0.266,0.003,0,0,0,
Depth 13:,13,0.001,0,0.001,0,0.027,0,0,0,0.339,0.252,
Depth 14:,14,0.254,0.219,0.001,0,0.199,0,0.006,0.109,0.001,0.025,
Depth 15:,15,0,0,0,0.267,0.002,0.312,0.261,0.107,0,0.026,
Depth 16:,16,0.335,0.281,0,0.054,0,0.292,0.004,0,0,0.004,
Depth 17:,17,0.003,0.22,0,0.329,0.405,0.3,0,0.4,0.131,0.137,
Depth 18:,18,0,0.014,0.253,0.003,0.013,0.007,0.056,0,0.346,0.007,
Depth 19:,19,0,0.273,0.018,0.004,0.008,0,0.338,0.307,0,0.33,
Depth 20:,20,0.233,0,0.116,0.065,0.001,0,0,0.002,0.333,0,
Depth 21:,21,0,0.014,0.028,0.001,0,0.003,0.053,0.001,0,0.207,
Depth 22:,22,0,0,0.004,0,0,0,0,0.001,0,0.282,
